player_name,MLBAMID,Season,BIP,xHR,xBACON,xSLGCON,EV81,EV96,best_speed,hard_hit_rate
"Lake, Junior",516809,2016,24,1.1483593860245165,0.40942759066820145,0.5633090608678456,100.444,107.896,94.44736842105263,0.23076923076923078
"Newman, Kevin",621028,2020,134,1.1469387465036216,0.2877878659585519,0.32381891173160954,95.09599999999999,101.2,92.39082568807339,0.1935483870967742
"Bourjos, Peter",488721,2018,27,1.1433863154683008,0.3038468769303075,0.4492063118659658,100.024,105.04400000000001,96.48260869565217,0.24444444444444444
"Eibner, Brett",518649,2017,14,1.1386059436621494,0.4356699953121798,0.6868139394697579,102.24999999999999,105.9,95.06153846153846,0.2692307692307692
"Nimmo, Brandon",607043,2016,51,1.1375400731906646,0.3666421521601139,0.44007685549769915,95.92000000000003,106.53999999999999,94.375,0.19753086419753085
"Peña, Francisco",506747,2018,81,1.1360758973548486,0.28461674408826193,0.329415025650426,95.744,106.15599999999999,92.44725274725275,0.2032967032967033
"Kemp, Matt",461314,2019,40,1.1354604774503043,0.2510262893512845,0.3447390700613819,95.69200000000001,101.324,93.84444444444445,0.21818181818181817
"Jones, JaCoby",592444,2016,14,1.134908672027649,0.3342796758349453,0.5952682445026686,104.227,108.36000000000001,100.15,0.39285714285714285
"Castro, Jason",488771,2018,30,1.128166288229302,0.32165678789218266,0.4459375193566378,91.215,105.22,89.60909090909091,0.15151515151515152
"Mathis, Jeff",425772,2019,139,1.1277442001700773,0.26073762297415903,0.295623450553194,92.979,101.988,90.37795275590551,0.16141732283464566
"Smith, Pavin",656976,2020,31,1.123705221538664,0.34121799348823484,0.46482072962843934,99.3,104.724,95.9090909090909,0.2222222222222222
"Espinal, Santiago",669289,2020,46,1.1185759464196474,0.3759017225921802,0.45637134063277945,94.12299999999999,101.25200000000001,90.91363636363636,0.17045454545454544
"d'Arnaud, Chase",488818,2016,179,1.1183106528441746,0.29477944963887415,0.326718164338043,94.49600000000001,102.768,92.29922480620155,0.17374517374517376
"Cuevas, Noel",571595,2018,112,1.1142720574844867,0.2717538456532306,0.3071561830551981,95.784,105.316,94.19450549450549,0.22404371584699453
"Ethier, Andre",444843,2016,17,1.110919962959354,0.2637382854762323,0.47341497716045255,92.666,103.22800000000001,93.03846153846153,0.14814814814814814
"Cecchini, Gavin",608325,2017,58,1.1103370352173347,0.2848262544079074,0.34740674419456624,90.28,99.82000000000002,89.16875,0.13541666666666666
